 ,sendSms,mappings,httpGet,httpPost,httpPostJson,httpDelete,httpPutJson
phone,130,0,2,3,0,0,0
location,9,2,1,0,3,0,0
mode,21,0,1,0,2,0,0
presence,21,6,2,1,4,0,1
lock,10,13,1,3,9,0,1
presenceSensor,1,5,0,0,5,0,0
motionSensor,1,5,0,1,5,0,0
alarm,3,4,0,0,3,0,0
doorControl,0,1,0,0,1,0,0
smokeDetector,0,2,0,0,2,0,0
