 ,httpPost,httpGet,httpPutJson,sendSms,httpPostJson,mappings
phone,0,0,0,24,0,0
location,0,0,1,7,1,0
mode,0,0,1,9,1,0
alarm,0,0,0,0,4,3
presence,0,0,1,3,5,3
lock,0,0,1,1,4,3
